cnpj;identificador_matriz_filial;razao_social;nome_fantasia;cnae_secundario;nm_cnae
"10705975000179";"1";"GREMIO RECREATIVO E ESPORTIVO SAMBURA";"GREMIO SAMBURA";"8550302";"Atividades de apoio à educação exceto caixas escolares"
"10705975000179";"1";"GREMIO RECREATIVO E ESPORTIVO SAMBURA";"GREMIO SAMBURA";"8591100";"Ensino de esportes"
"10705975000179";"1";"GREMIO RECREATIVO E ESPORTIVO SAMBURA";"GREMIO SAMBURA";"8593700";"Ensino de idiomas"
"10705975000179";"1";"GREMIO RECREATIVO E ESPORTIVO SAMBURA";"GREMIO SAMBURA";"8599603";"Treinamento em informática"
"10705975000179";"1";"GREMIO RECREATIVO E ESPORTIVO SAMBURA";"GREMIO SAMBURA";"8599604";"Treinamento em desenvolvimento profissional e gerencial"
"10705975000179";"1";"GREMIO RECREATIVO E ESPORTIVO SAMBURA";"GREMIO SAMBURA";"8630504";"Atividade odontológica"
"10705975000179";"1";"GREMIO RECREATIVO E ESPORTIVO SAMBURA";"GREMIO SAMBURA";"8650003";"Atividades de psicologia e psicanálise"
"10705975000179";"1";"GREMIO RECREATIVO E ESPORTIVO SAMBURA";"GREMIO SAMBURA";"8690901";"Atividades de práticas integrativas e complementares em saúde humana"
"10705975000179";"1";"GREMIO RECREATIVO E ESPORTIVO SAMBURA";"GREMIO SAMBURA";"8720499";"Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos deficiência mental e dependência química e grupos similares não especificadas anteriormente"
"10705975000179";"1";"GREMIO RECREATIVO E ESPORTIVO SAMBURA";"GREMIO SAMBURA";"8800600";"Serviços de assistência social sem alojamento"
"10705975000179";"1";"GREMIO RECREATIVO E ESPORTIVO SAMBURA";"GREMIO SAMBURA";"9329899";"Outras atividades de recreação e lazer não especificadas anteriormente"
"10705975000179";"1";"GREMIO RECREATIVO E ESPORTIVO SAMBURA";"GREMIO SAMBURA";"9430800";"Atividades de associações de defesa de direitos sociais"
"10705975000179";"1";"GREMIO RECREATIVO E ESPORTIVO SAMBURA";"GREMIO SAMBURA";"9499500";"Atividades associativas não especificadas anteriormente"
"10708666000152";"1";"DEFENSE ENGENHARIA ELETRICA E SERVICOS ESPORTIVOS LTDA";"DEFENSE ASSESSORIA";"4213800";"Obras de urbanização - ruas praças e calçadas"
"10708666000152";"1";"DEFENSE ENGENHARIA ELETRICA E SERVICOS ESPORTIVOS LTDA";"DEFENSE ASSESSORIA";"4222701";"Construção de redes de abastecimento de água coleta de esgoto e construções correlatas exceto obras de irrigação"
"10708666000152";"1";"DEFENSE ENGENHARIA ELETRICA E SERVICOS ESPORTIVOS LTDA";"DEFENSE ASSESSORIA";"4311802";"Preparação de canteiro e limpeza de terreno"
"10708666000152";"1";"DEFENSE ENGENHARIA ELETRICA E SERVICOS ESPORTIVOS LTDA";"DEFENSE ASSESSORIA";"4321500";"Instalação e manutenção elétrica"
"10708666000152";"1";"DEFENSE ENGENHARIA ELETRICA E SERVICOS ESPORTIVOS LTDA";"DEFENSE ASSESSORIA";"4330403";"Obras de acabamento em gesso e estuque"
"10708666000152";"1";"DEFENSE ENGENHARIA ELETRICA E SERVICOS ESPORTIVOS LTDA";"DEFENSE ASSESSORIA";"4330404";"Serviços de pintura de edifícios em geral"
"10708666000152";"1";"DEFENSE ENGENHARIA ELETRICA E SERVICOS ESPORTIVOS LTDA";"DEFENSE ASSESSORIA";"4399103";"Obras de alvenaria"
"10708666000152";"1";"DEFENSE ENGENHARIA ELETRICA E SERVICOS ESPORTIVOS LTDA";"DEFENSE ASSESSORIA";"4669999";"Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente; partes e peças"
"10708666000152";"1";"DEFENSE ENGENHARIA ELETRICA E SERVICOS ESPORTIVOS LTDA";"DEFENSE ASSESSORIA";"4763604";"Comércio varejista de artigos de caça pesca e camping"
"10708666000152";"1";"DEFENSE ENGENHARIA ELETRICA E SERVICOS ESPORTIVOS LTDA";"DEFENSE ASSESSORIA";"4781400";"Comércio varejista de artigos do vestuário e acessórios"
"10708666000152";"1";"DEFENSE ENGENHARIA ELETRICA E SERVICOS ESPORTIVOS LTDA";"DEFENSE ASSESSORIA";"4782201";"Comércio varejista de calçados"
"10708666000152";"1";"DEFENSE ENGENHARIA ELETRICA E SERVICOS ESPORTIVOS LTDA";"DEFENSE ASSESSORIA";"4789009";"Comércio varejista de armas e munições"
"10708666000152";"1";"DEFENSE ENGENHARIA ELETRICA E SERVICOS ESPORTIVOS LTDA";"DEFENSE ASSESSORIA";"7112000";"Serviços de engenharia"
"10708666000152";"1";"DEFENSE ENGENHARIA ELETRICA E SERVICOS ESPORTIVOS LTDA";"DEFENSE ASSESSORIA";"8011101";"Atividades de vigilância e segurança privada"
"10708666000152";"1";"DEFENSE ENGENHARIA ELETRICA E SERVICOS ESPORTIVOS LTDA";"DEFENSE ASSESSORIA";"8020002";"Outras atividades de serviços de segurança"
"10708666000152";"1";"DEFENSE ENGENHARIA ELETRICA E SERVICOS ESPORTIVOS LTDA";"DEFENSE ASSESSORIA";"8211300";"Serviços combinados de escritório e apoio administrativo"
"10708666000152";"1";"DEFENSE ENGENHARIA ELETRICA E SERVICOS ESPORTIVOS LTDA";"DEFENSE ASSESSORIA";"8219901";"Fotocópias"
"10708666000152";"1";"DEFENSE ENGENHARIA ELETRICA E SERVICOS ESPORTIVOS LTDA";"DEFENSE ASSESSORIA";"8219999";"Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente"
"10708666000152";"1";"DEFENSE ENGENHARIA ELETRICA E SERVICOS ESPORTIVOS LTDA";"DEFENSE ASSESSORIA";"8599604";"Treinamento em desenvolvimento profissional e gerencial"
